room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10024671,7278244,Shared room,,Puhinui South,2,,2,1.0,30.0,1.0,-36.983532,174.879761,2016-08-19 19:54:26.311405
13266076,74717428,Private room,,Springleigh,1,,1,1.0,20.0,2.0,-36.883006,174.709389,2016-08-19 19:54:51.746748
9222333,47953027,Private room,,Turanga,1,,2,1.0,90.0,1.0,-36.945523,174.965312,2016-08-19 19:54:23.237065
10635121,54793093,Entire home/apt,,Newton,9,5.0,2,1.0,111.0,2.0,-36.858477,174.755384,2016-08-19 19:54:21.976698
13590562,1520738,Private room,,Auckland Central East,1,,2,1.0,82.0,2.0,-36.848166,174.766135,2016-08-19 19:54:18.010749
13333850,67966159,Private room,,Epsom Central,23,5.0,2,1.0,44.0,1.0,-36.890923,174.768309,2016-08-19 19:54:13.760846
14235247,71445419,Entire home/apt,,Auckland Harbourside,1,,2,1.0,158.0,3.0,-36.844056,174.766238,2016-08-19 19:54:11.570704
14377765,88252081,Private room,,Windsor Park,0,,4,1.0,34.0,1.0,-36.741422,174.740639,2016-08-19 19:54:10.470847
7842271,35041094,Entire home/apt,,Maungawhau,17,5.0,4,2.0,45.0,1.0,-36.890792,174.758844,2016-08-19 19:54:05.602808
13378761,57274887,Entire home/apt,,Mt Victoria,0,,3,1.0,165.0,3.0,-36.830205,174.801595,2016-08-19 19:53:59.024057
7026193,36831328,Private room,,Baverstock Oaks,48,4.5,2,1.0,23.0,1.0,-36.956178,174.917483,2016-08-19 19:53:56.536832
8956321,35907508,Entire home/apt,,Auckland Central East,53,5.0,3,1.0,131.0,1.0,-36.846241,174.770466,2016-08-19 19:53:55.876833
6147596,31891708,Private room,,Kohimarama West,20,5.0,2,1.0,75.0,1.0,-36.859962,174.845302,2016-08-19 19:53:51.506771
14092305,84781160,Entire home/apt,,Auckland Central East,1,,2,0.0,112.0,2.0,-36.849143,174.772447,2016-08-19 19:53:46.758001
11261915,28315026,Private room,,Beachlands-Maraetai,6,5.0,2,1.0,67.0,1.0,-36.884057,175.044421,2016-08-19 19:53:35.016157
134163,645811,Private room,,Roberton,0,,4,1.0,72.0,7.0,-36.887133,174.696667,2016-08-19 19:53:30.143035
10364016,11905911,Entire home/apt,,Freemans Bay,0,,3,1.0,74.0,3.0,-36.858628,174.753983,2016-08-19 19:53:28.417073
14236554,86573459,Private room,,West Harbour,0,,1,1.0,23.0,1.0,-36.825982,174.618488,2016-08-19 19:53:25.843185
11802157,35839992,Private room,,Royal Oak,0,,1,1.0,37.0,1.0,-36.908819,174.761711,2016-08-19 19:53:24.319321
14532521,89865834,Private room,,Waiheke Island,0,,2,1.0,139.0,2.0,-36.798703,175.084631,2016-08-19 19:53:20.320303
9593306,49652725,Entire home/apt,,Chelsea,0,,8,4.0,187.0,1.0,-36.819113,174.709735,2016-08-19 19:53:10.997896
12905612,70721137,Private room,,Sandringham West,0,,2,1.0,57.0,1.0,-36.886919,174.730014,2016-08-19 19:53:10.354009
13578339,47062679,Private room,,Mt Eden South,0,,1,1.0,22.0,7.0,-36.898085,174.755446,2016-08-19 19:53:08.287167
13264497,46419283,Entire home/apt,,Auckland Central West,4,5.0,2,1.0,90.0,1.0,-36.848146,174.763742,2016-08-19 19:53:03.004869
4157961,13238000,Entire home/apt,,Auckland Harbourside,7,4.5,3,2.0,221.0,3.0,-36.843835,174.763998,2016-08-19 19:53:00.334772
9812893,50336176,Private room,,Auckland Central East,3,4.5,2,1.0,53.0,1.0,-36.85523,174.762726,2016-08-19 19:52:58.115589
14560072,83632633,Private room,,Albany,0,,1,1.0,34.0,1.0,-36.723417,174.688988,2016-08-19 19:52:57.797915
